Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
Verify if 'comment' column displays comment logo for the row containing comment.,RE-37,10066,Test,Done,RE,Real Estate,software,SHRUTI PHADTARE,612ef80cb7859000710af637,,Medium,Done,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,07/Sep/21 3:55 AM,08/Sep/21 8:49 AM,08/Sep/21 5:19 AM,08/Sep/21 8:49 AM,,0,,,SHRUTI PHADTARE,612ef80cb7859000710af637,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000bb:,,RE Sprint 1,,,,,,,,Done
Verify that 'bulk actions' field displays dropdown menu after clicking on it.,RE-36,10065,Test,Done,RE,Real Estate,software,SHRUTI PHADTARE,612ef80cb7859000710af637,,Medium,Done,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,06/Sep/21 5:06 PM,08/Sep/21 8:49 AM,07/Sep/21 12:32 PM,08/Sep/21 8:49 AM,,0,,,SHRUTI PHADTARE,612ef80cb7859000710af637,,,,,,,,,,,RE-34,,,,,,,,,{},,,,,,,0|i000b3:,,RE Sprint 1,,,,,,,,Done
Verify that the 'bulk actions' tab appears after navigating to the media module.,RE-35,10064,Test,Done,RE,Real Estate,software,SHRUTI PHADTARE,612ef80cb7859000710af637,,Medium,Done,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,06/Sep/21 4:55 PM,08/Sep/21 8:48 AM,07/Sep/21 12:31 PM,08/Sep/21 8:48 AM,,0,,,SHRUTI PHADTARE,612ef80cb7859000710af637,,,,,,,,,,,RE-34,,,,,,,,,{},,,,,,,0|i000av:,,RE Sprint 1,,,,,,,,Done
"As an admin, I want to check the operation of 'Bulk Actions' tab so that I can perform some actions.",RE-34,10063,Story,Done,RE,Real Estate,software,SHRUTI PHADTARE,612ef80cb7859000710af637,,Medium,Done,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,06/Sep/21 4:52 PM,08/Sep/21 10:31 AM,08/Sep/21 10:31 AM,08/Sep/21 6:47 AM,,0,,,SHRUTI PHADTARE,612ef80cb7859000710af637,,,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i0005q:d,,RE Sprint 1,,,,,,,,Done
Check if the 'delete permanently option' in the bulk action displays pop up window after clicking on apply button.,RE-33,10062,Test,Done,RE,Real Estate,software,SHRUTI PHADTARE,612ef80cb7859000710af637,,Medium,Done,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,06/Sep/21 12:04 PM,08/Sep/21 8:48 AM,07/Sep/21 12:44 PM,08/Sep/21 8:48 AM,,0,,,SHRUTI PHADTARE,612ef80cb7859000710af637,,,,,,,,,,,RE-34,,,,,,,,,{},,,,,,,0|i000az:,,RE Sprint 1,,,,,,,,Done
Check that 'pagination field' contains previous and next clickable link on up-down side of the page.,RE-32,10061,Test,Done,RE,Real Estate,software,SHRUTI PHADTARE,612ef80cb7859000710af637,,Medium,Done,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,06/Sep/21 11:47 AM,08/Sep/21 8:47 AM,07/Sep/21 12:46 PM,08/Sep/21 8:47 AM,,0,,,SHRUTI PHADTARE,612ef80cb7859000710af637,,,,,,,,,,,RE-27,,,,,,,,,{},,,,,,,0|i000af:,,RE Sprint 1,,,,,,,,Done
Verify on the last page the next button is disabled.,RE-31,10060,Test,Done,RE,Real Estate,software,SHRUTI PHADTARE,612ef80cb7859000710af637,,Medium,Done,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,06/Sep/21 11:21 AM,08/Sep/21 8:47 AM,07/Sep/21 12:47 PM,08/Sep/21 8:47 AM,,0,,,SHRUTI PHADTARE,612ef80cb7859000710af637,,,,,,,,,,,RE-27,,,,,,,,,{},,,,,,,0|i000a7:,,RE Sprint 1,,,,,,,,Done
Verify on the first page the previous button is disabled.,RE-30,10059,Test,Done,RE,Real Estate,software,SHRUTI PHADTARE,612ef80cb7859000710af637,,Medium,Done,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,06/Sep/21 11:19 AM,08/Sep/21 8:46 AM,07/Sep/21 10:30 AM,08/Sep/21 8:46 AM,,0,,,SHRUTI PHADTARE,612ef80cb7859000710af637,,,,,,,,,,,RE-27,,,,,,,,,{},,,,,,,0|i0009z:,,RE Sprint 1,,,,,,,,Done
Verify the pagination displayed must contain previous and next clickable links.,RE-29,10058,Test,Done,RE,Real Estate,software,SHRUTI PHADTARE,612ef80cb7859000710af637,,Medium,Done,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,06/Sep/21 11:14 AM,08/Sep/21 8:46 AM,07/Sep/21 12:47 PM,08/Sep/21 8:46 AM,,0,,,SHRUTI PHADTARE,612ef80cb7859000710af637,,,,,,,,,,,RE-27,,,,,,,,,{},,,,,,,0|i0009r:,,RE Sprint 1,,,,,,,,Done
Verify if check box present on left side of each file is clickable or not.,RE-28,10057,Test,Done,RE,Real Estate,software,SHRUTI PHADTARE,612ef80cb7859000710af637,,Medium,Done,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,06/Sep/21 11:06 AM,08/Sep/21 8:46 AM,07/Sep/21 10:22 AM,08/Sep/21 8:46 AM,,0,,,SHRUTI PHADTARE,612ef80cb7859000710af637,,,,,,,,,,,RE-27,,,,,,,,,{},,,,,,,0|i0009j:,,RE Sprint 1,,,,,,,,Done
